table,weight,side,r,d,value
unit comp,unit,comp,18,0,120323.0000000000
unit comp,unit,comp,19,0,241754.0000000000
unit comp,unit,comp,20,0,485653.0000000000
unit comp,unit,comp,21,0,974990.0000000000
unit comp,unit,comp,22,0,1956816.0000000000
unit comp,unit,comp,23,0,3926088.0000000000
unit comp,unit,comp,24,0,7874900.0000000000
unit comp,unit,comp,2,1,1.0000000000
unit comp,unit,comp,3,1,1.0000000000
unit comp,unit,comp,4,1,4.0000000000
unit comp,unit,comp,5,1,5.0000000000
unit comp,unit,comp,6,1,14.0000000000
unit comp,unit,comp,7,1,26.0000000000
unit comp,unit,comp,8,1,54.0000000000
unit comp,unit,comp,9,1,108.0000000000
unit comp,unit,comp,10,1,224.0000000000
unit comp,unit,comp,11,1,450.0000000000
unit comp,unit,comp,12,1,906.0000000000
unit comp,unit,comp,13,1,1839.0000000000
unit comp,unit,comp,14,1,3688.0000000000
unit comp,unit,comp,15,1,7452.0000000000
unit comp,unit,comp,16,1,14966.0000000000
unit comp,unit,comp,17,1,30089.0000000000
unit comp,unit,comp,18,1,60496.0000000000
unit comp,unit,comp,19,1,121431.0000000000
unit comp,unit,comp,20,1,243899.0000000000
unit comp,unit,comp,21,1,489337.0000000000
unit comp,unit,comp,22,1,981826.0000000000
unit comp,unit,comp,23,1,1969272.0000000000
unit comp,unit,comp,24,1,3948812.0000000000
unit comp,unit,comp,3,2,0.0000000000
unit comp,unit,comp,4,2,3.0000000000
unit comp,unit,comp,5,2,1.0000000000
unit comp,unit,comp,6,2,9.0000000000
unit comp,unit,comp,7,2,12.0000000000
unit comp,unit,comp,8,2,28.0000000000
unit comp,unit,comp,9,2,54.0000000000
unit comp,unit,comp,10,2,116.0000000000
unit comp,unit,comp,11,2,226.0000000000
unit comp,unit,comp,12,2,456.0000000000
unit comp,unit,comp,13,2,933.0000000000
unit comp,unit,comp,14,2,1849.0000000000
unit comp,unit,comp,15,2,3764.0000000000
unit comp,unit,comp,16,2,7514.0000000000
unit comp,unit,comp,17,2,15123.0000000000
unit comp,unit,comp,18,2,30407.0000000000
unit comp,unit,comp,19,2,60935.0000000000
unit comp,unit,comp,20,2,122468.0000000000
unit comp,unit,comp,21,2,245438.0000000000
unit comp,unit,comp,22,2,492489.0000000000
unit comp,unit,comp,23,2,987446.0000000000
unit comp,unit,comp,24,2,1979540.0000000000
unit comp,unit,comp,4,3,3.0000000000
unit comp,unit,comp,5,3,-2.0000000000
unit comp,unit,comp,6,3,8.0000000000
unit comp,unit,comp,7,3,3.0000000000
unit comp,unit,comp,8,3,16.0000000000
unit comp,unit,comp,9,3,26.0000000000
unit comp,unit,comp,10,3,62.0000000000
unit comp,unit,comp,11,3,110.0000000000
unit comp,unit,comp,12,3,230.0000000000
unit comp,unit,comp,13,3,477.0000000000
unit comp,unit,comp,14,3,916.0000000000
unit comp,unit,comp,15,3,1915.0000000000
unit comp,unit,comp,16,3,3750.0000000000
unit comp,unit,comp,17,3,7609.0000000000
unit comp,unit,comp,18,3,15284.0000000000
unit comp,unit,comp,19,3,30528.0000000000
unit comp,unit,comp,20,3,61533.0000000000
unit comp,unit,comp,21,3,122970.0000000000
unit comp,unit,comp,22,3,247051.0000000000
unit comp,unit,comp,23,3,494957.0000000000
unit comp,unit,comp,24,3,992094.0000000000
unit comp,unit,comp,5,4,-5.0000000000
unit comp,unit,comp,6,4,10.0000000000
unit comp,unit,comp,7,4,-5.0000000000
unit comp,unit,comp,8,4,13.0000000000
unit comp,unit,comp,9,4,10.0000000000
unit comp,unit,comp,10,4,36.0000000000
unit comp,unit,comp,11,4,48.0000000000
unit comp,unit,comp,12,4,120.0000000000
unit comp,unit,comp,13,4,247.0000000000
unit comp,unit,comp,14,4,439.0000000000
unit comp,unit,comp,15,4,999.0000000000
unit comp,unit,comp,16,4,1835.0000000000
unit comp,unit,comp,17,4,3859.0000000000
unit comp,unit,comp,18,4,7675.0000000000
unit comp,unit,comp,19,4,15244.0000000000
unit comp,unit,comp,20,4,31005.0000000000
unit comp,unit,comp,21,4,61437.0000000000
unit comp,unit,comp,22,4,124081.0000000000
unit comp,unit,comp,23,4,247906.0000000000
unit comp,unit,comp,24,4,497137.0000000000
unit comp,unit,comp,6,5,15.0000000000
unit comp,unit,comp,7,5,-15.0000000000
unit comp,unit,comp,8,5,18.0000000000
unit comp,unit,comp,9,5,-3.0000000000
unit comp,unit,comp,10,5,26.0000000000
unit comp,unit,comp,11,5,12.0000000000
unit comp,unit,comp,12,5,72.0000000000
unit comp,unit,comp,13,5,127.0000000000
unit comp,unit,comp,14,5,192.0000000000
unit comp,unit,comp,15,5,560.0000000000
unit comp,unit,comp,16,5,836.0000000000
unit comp,unit,comp,17,5,2024.0000000000
unit comp,unit,comp,18,5,3816.0000000000
unit comp,unit,comp,19,5,7569.0000000000
unit comp,unit,comp,20,5,15761.0000000000
unit comp,unit,comp,21,5,30432.0000000000
unit comp,unit,comp,22,5,62644.0000000000
unit comp,unit,comp,23,5,123825.0000000000
unit comp,unit,comp,24,5,249231.0000000000
log comp,log,comp,1,0,0.0000000000
log comp,log,comp,2,0,1.3862943611
log comp,log,comp,3,0,3.8712010109
log comp,log,comp,4,0,15.1044125731
log comp,log,comp,5,0,35.1716697764
log comp,log,comp,6,0,96.5156991081
log comp,log,comp,7,0,232.4422101316
log comp,log,comp,8,0,550.6468315261
log comp,log,comp,9,0,1263.9146707977
log comp,log,comp,10,0,2895.2211289690
log comp,log,comp,11,0,6492.1696732940
log comp,log,comp,12,0,14364.7973632400
log comp,log,comp,13,0,31615.4465694106
log comp,log,comp,14,0,68791.3229274799
log comp,log,comp,15,0,149060.9784314781
log comp,log,comp,16,0,320694.7110097067
log comp,log,comp,17,0,686634.2172921668
log comp,log,comp,18,0,1464343.7781603597
log comp,log,comp,19,0,3109728.7255163379
log comp,log,comp,20,0,6583666.3912404785
log comp,log,comp,21,0,13893068.9054550156
log comp,log,comp,22,0,29239861.4989912175
log comp,log,comp,23,0,61387148.6011257395
log comp,log,comp,24,0,128587965.2334986925
log comp,log,comp,2,1,1.3862943611
log comp,log,comp,3,1,2.4849066498
log comp,log,comp,4,1,11.2332115622
log comp,log,comp,5,1,20.0672572033
log comp,log,comp,6,1,61.3440293317
log comp,log,comp,7,1,135.9265110234
log comp,log,comp,8,1,318.2046213945
log comp,log,comp,9,1,713.2678392717
log comp,log,comp,10,1,1631.3064581713
log comp,log,comp,11,1,3596.9485443250
log comp,log,comp,12,1,7872.6276899460
log comp,log,comp,13,1,17250.6492061706
log comp,log,comp,14,1,37175.8763580693
log comp,log,comp,15,1,80269.6555039982
log comp,log,comp,16,1,171633.7325782286
log comp,log,comp,17,1,365939.5062824601
log comp,log,comp,18,1,777709.5608681929
log comp,log,comp,19,1,1645384.9473559782
log comp,log,comp,20,1,3473937.6657241406
log comp,log,comp,21,1,7309402.5142145371
log comp,log,comp,22,1,15346792.5935362019
log comp,log,comp,23,1,32147287.1021345221
log comp,log,comp,24,1,67200816.6323729455
log comp,log,comp,3,2,1.0986122887
log comp,log,comp,4,2,8.7483049124
log comp,log,comp,5,2,8.8340456412
log comp,log,comp,6,2,41.2767721284
log comp,log,comp,7,2,74.5824816917
log comp,log,comp,8,2,182.2781103711
log comp,log,comp,9,2,395.0632178772
log comp,log,comp,10,2,918.0386188996
log comp,log,comp,11,2,1965.6420861538
log comp,log,comp,12,2,4275.6791456210
log comp,log,comp,13,2,9378.0215162246
log comp,log,comp,14,2,19925.2271518987
log comp,log,comp,15,2,43093.7791459290
log comp,log,comp,16,2,91364.0770742304
log comp,log,comp,17,2,194305.7737042315
log comp,log,comp,18,2,411770.0545857329
log comp,log,comp,19,2,867675.3864877853
log comp,log,comp,20,2,1828552.7183681624
log comp,log,comp,21,2,3835464.8484903965
log comp,log,comp,22,2,8037390.0793216648
log comp,log,comp,23,2,16800494.5085983202
log comp,log,comp,24,2,35053529.5302384198
log comp,log,comp,4,3,7.6496926237
log comp,log,comp,5,3,0.0857407288
log comp,log,comp,6,3,32.4427264872
log comp,log,comp,7,3,33.3057095633
log comp,log,comp,8,3,107.6956286794
log comp,log,comp,9,3,212.7851075061
log comp,log,comp,10,3,522.9754010224
log comp,log,comp,11,3,1047.6034672541
log comp,log,comp,12,3,2310.0370594672
log comp,log,comp,13,3,5102.3423706036
log comp,log,comp,14,3,10547.2056356741
log comp,log,comp,15,3,23168.5519940303
log comp,log,comp,16,3,48270.2979283014
log comp,log,comp,17,3,102941.6966300011
log comp,log,comp,18,3,217464.2808815014
log comp,log,comp,19,3,455905.3319020524
log comp,log,comp,20,3,960877.3318803771
log comp,log,comp,21,3,2006912.1301222341
log comp,log,comp,22,3,4201925.2308312682
log comp,log,comp,23,3,8763104.4292766564
log comp,log,comp,24,3,18253035.0216400996
log comp,log,comp,5,4,-7.5639518949
log comp,log,comp,6,4,32.3569857584
log comp,log,comp,7,4,0.8629830761
log comp,log,comp,8,4,74.3899191161
log comp,log,comp,9,4,105.0894788267
log comp,log,comp,10,4,310.1902935164
log comp,log,comp,11,4,524.6280662317
log comp,log,comp,12,4,1262.4335922131
log comp,log,comp,13,4,2792.3053111364
log comp,log,comp,14,4,5444.8632650705
log comp,log,comp,15,4,12621.3463583562
log comp,log,comp,16,4,25101.7459342711
log comp,log,comp,17,4,54671.3987016997
log comp,log,comp,18,4,114522.5842515003
log comp,log,comp,19,4,238441.0510205510
log comp,log,comp,20,4,504971.9999783247
log comp,log,comp,21,4,1046034.7982418570
log comp,log,comp,22,4,2195013.1007090341
log comp,log,comp,23,4,4561179.1984453881
log comp,log,comp,24,4,9489930.5923634432
log comp,log,comp,6,5,39.9209376534
log comp,log,comp,7,5,-31.4940026824
log comp,log,comp,8,5,73.5269360400
log comp,log,comp,9,5,30.6995597106
log comp,log,comp,10,5,205.1008146897
log comp,log,comp,11,5,214.4377727153
log comp,log,comp,12,5,737.8055259814
log comp,log,comp,13,5,1529.8717189233
